,Closest City,Country Code,Latitude,Longitude,Temperature,Wind Speed,Humidity,Cloudiness
331,tupa,br,-21.93,-50.51,28.0,2.1,74.0,40.0
332,kieta,pg,-6.22,155.63,26.72,1.52,100.0,24.0
333,kitob,uz,39.12,66.88,9.0,3.1,93.0,68.0
334,anicuns,br,-16.46,-49.96,25.9,2.17,50.0,44.0
336,mutis,co,6.23,-77.4,25.8,2.42,95.0,56.0
337,nome,us,30.04,-94.42,25.0,4.6,73.0,90.0
338,santa vitoria,br,-7.82,-67.03,28.95,1.67,75.0,32.0
339,manado,id,1.49,124.85,25.0,1.0,94.0,75.0
340,sibolga,id,1.74,98.78,20.02,0.77,100.0,80.0
341,chumphon,th,10.5,99.18,22.9,0.97,96.0,20.0
342,rantoul,us,40.31,-88.16,8.0,4.1,93.0,90.0
343,berbera,so,10.44,45.01,18.2,0.97,90.0,0.0
344,tuktoyaktuk,ca,69.44,-133.03,-19.0,1.0,77.0,20.0
346,concordia,br,-27.23,-52.03,19.4,1.42,100.0,92.0
347,tazovskiy,ru,67.47,78.7,-23.46,11.32,69.0,68.0
348,edd,er,13.93,41.69,21.05,2.17,31.0,0.0
349,surin,th,14.88,103.49,23.62,1.32,87.0,36.0
350,scarborough,tt,11.18,-60.73,28.0,5.7,65.0,20.0
351,abong mbang,cm,3.98,13.18,21.37,0.87,92.0,8.0
352,richards bay,za,-28.77,32.06,21.35,4.07,88.0,0.0
353,banda aceh,id,5.56,95.32,22.6,0.77,98.0,8.0
354,ponta do sol,pt,32.67,-17.1,16.0,7.7,72.0,20.0
355,garh maharaja,pk,30.83,71.9,22.25,5.27,56.0,0.0
356,monrovia,lr,6.33,-10.8,27.0,3.17,83.0,20.0
357,agua blanca,gt,14.5,-89.65,36.0,3.1,25.0,20.0
358,abu kamal,sy,34.45,40.92,17.52,3.77,31.0,20.0
360,mahibadhoo,mv,3.78,72.97,28.62,1.07,100.0,64.0
361,katherine,au,-14.47,132.26,21.0,1.0,88.0,0.0
362,kanchanaburi,th,14.03,99.53,22.35,1.32,98.0,56.0
363,tongliao,cn,43.61,122.27,10.47,6.97,29.0,76.0
364,pouembout,nc,-21.12,164.9,23.9,3.42,93.0,100.0
365,lafia,ng,8.5,8.51,27.97,5.57,57.0,8.0
366,rio claro,tt,10.31,-61.18,29.0,6.7,58.0,20.0
367,jaboticabal,br,-21.25,-48.33,29.0,1.0,45.0,20.0
368,marseille,fr,43.3,5.37,13.0,2.1,76.0,0.0
369,skogn,no,63.7,11.19,-5.0,4.1,57.0,0.0
370,mackay,au,-21.15,149.2,26.0,5.1,83.0,90.0
371,uray,ru,60.13,64.8,-14.76,1.22,83.0,0.0
372,laramie,us,41.31,-105.59,8.0,5.1,19.0,1.0
373,bluff,nz,-46.6,168.33,14.75,11.67,98.0,48.0
374,sangmelima,cm,2.93,11.98,21.8,1.42,94.0,8.0
375,bunia,cd,1.56,30.25,17.9,1.02,91.0,24.0
376,maralal,ke,1.1,36.7,14.7,1.62,87.0,32.0
377,kampot,kh,10.62,104.18,22.77,1.37,97.0,24.0
378,sendafa,et,9.16,39.02,10.87,2.97,41.0,0.0
379,qarqin,af,37.41,66.03,14.6,1.72,69.0,0.0
380,nadvoitsy,ru,63.89,34.27,-10.71,1.67,84.0,32.0
381,clyde river,ca,70.47,-68.59,-19.0,1.0,77.0,40.0
382,bluefield,us,37.27,-81.22,18.0,2.1,46.0,90.0
383,wajir,ke,1.75,40.07,23.62,2.32,87.0,56.0
384,kununurra,au,-15.77,128.74,25.0,2.1,94.0,75.0
385,kisaran,id,2.98,99.62,23.45,1.27,100.0,20.0
386,malazgirt,tr,39.15,42.54,7.35,4.92,55.0,0.0
387,oistins,bb,13.07,-59.53,28.0,5.1,69.0,20.0
388,la seyne-sur-mer,fr,43.1,5.88,13.0,5.1,71.0,0.0
389,jutiapa,gt,14.29,-89.9,36.0,3.1,25.0,20.0
390,kysyl-syr,ru,63.9,122.77,-18.48,2.02,68.0,0.0
391,maniitsoq,gl,65.42,-52.9,-13.66,2.72,91.0,68.0
392,puksoozero,ru,62.59,40.61,-19.41,2.57,49.0,8.0
393,dera ismail khan,pk,31.83,70.91,19.7,3.07,71.0,0.0
394,mingaora,pk,34.78,72.36,8.2,1.07,85.0,8.0
396,nikki,bj,9.94,3.21,27.62,2.17,40.0,0.0
398,muros,es,42.77,-9.06,9.0,3.1,87.0,90.0
399,bay roberts,ca,47.58,-53.28,5.0,3.6,23.0,75.0
400,jackson,us,35.61,-88.82,24.0,7.2,50.0,1.0
401,zuwarah,ly,32.93,12.08,14.12,5.47,89.0,36.0
402,broome,au,-17.97,122.23,28.0,1.5,88.0,0.0
403,beroroha,mg,-21.68,45.17,23.62,2.17,63.0,8.0
404,uhlove,ua,44.82,33.6,5.85,3.22,97.0,76.0
405,nicoya,cr,10.15,-85.45,34.0,12.3,34.0,0.0
406,malabang,ph,7.6,124.07,13.3,0.97,95.0,8.0
408,cordeiropolis,br,-22.48,-47.46,27.0,2.1,54.0,40.0
409,susehri,tr,40.16,38.09,5.1,1.97,57.0,0.0
410,sangar,ru,63.92,127.47,-17.21,3.02,70.0,0.0
411,caravelas,br,-17.73,-39.27,25.0,5.1,83.0,0.0
412,dawlatabad,af,36.41,64.91,11.27,1.82,88.0,0.0
413,dakar,sn,14.69,-17.45,20.0,4.1,94.0,80.0
414,dawei,mm,14.07,98.19,22.22,0.97,98.0,0.0
416,yumen,cn,40.29,97.04,5.7,4.22,46.0,20.0
417,bennettsville,us,34.62,-79.68,9.0,1.5,76.0,90.0
418,narsaq,gl,60.91,-46.05,-5.0,0.5,45.0,20.0
419,grosseto,it,42.76,11.11,7.0,2.6,87.0,0.0
420,orizona,br,-17.03,-48.3,27.0,1.97,46.0,80.0
421,bonthe,sl,7.53,-12.5,27.27,2.17,76.0,0.0
422,laem sing,th,12.48,102.07,23.75,0.22,100.0,88.0
423,brownsville,us,25.91,-97.49,31.0,9.8,70.0,90.0
424,iqaluit,ca,63.75,-68.52,-17.0,1.5,59.0,20.0
425,alakurtti,ru,66.96,30.34,-8.36,1.42,96.0,68.0
426,rexburg,us,43.82,-111.79,8.0,6.2,45.0,20.0
427,peruibe,br,-24.32,-47.0,26.02,3.77,100.0,92.0
428,sinop,tr,42.03,35.15,10.22,1.27,95.0,44.0
429,la palma,pa,8.4,-78.14,31.55,4.17,60.0,20.0
431,xinmin,cn,42.0,122.83,9.0,1.0,76.0,20.0
432,castro,cl,-42.48,-73.76,13.95,2.87,98.0,92.0
433,los algarrobos,pa,8.5,-82.43,33.0,7.2,43.0,20.0
434,namtsy,ru,62.72,129.66,-13.63,5.57,53.0,0.0
435,marion,us,38.35,-97.02,8.0,5.1,70.0,90.0
436,rusape,zw,-18.53,32.12,16.0,1.47,95.0,32.0
437,ondjiva,ao,-17.07,15.73,19.47,2.92,96.0,48.0
438,chino valley,us,34.76,-112.45,15.0,6.2,21.0,1.0
439,tondano,id,1.3,124.91,25.0,1.0,94.0,75.0
440,amga,ru,60.89,131.98,-10.66,4.52,58.0,44.0
441,dubti,et,11.74,41.09,20.47,3.07,48.0,0.0
442,batavia,us,43.0,-78.19,6.0,5.1,86.0,90.0
444,vorukh,tj,39.85,70.58,-3.38,0.77,93.0,44.0
445,segamat,my,2.51,102.82,24.0,0.87,94.0,75.0
446,bethel,us,60.79,-161.76,1.0,5.1,86.0,90.0
447,pendleton,us,45.67,-118.79,16.0,9.3,50.0,90.0
449,evensk,ru,61.92,159.24,-12.71,3.12,100.0,80.0
450,zhengjiatun,cn,43.51,123.51,9.85,8.37,34.0,44.0
451,coronado,us,38.49,-101.3,13.0,3.6,32.0,1.0
